避難所名,避難所町名,住所,電話番号,最大収容人数,バリアフリー,駐車場,授乳室,ペット可,ユニバーサルデザイン,礼拝室,空調完備,大規模施設
青森北高等学校,油川,青森市大字羽白字富田80-7,,872,,,,,,,,
青森工業高等学校,東陽（南）,青森市大字馬屋尻字清水流204-1,,940,,,,,,,,
青森県身体障がい者福祉センターねむのき会館,横内,青森市大字野尻字今田52-4,,413,,,,,,,,
青森県総合学校教育センター,横内,青森市大字大矢沢字野田80-2,,1388,,,,,,,,
青森県総合社会教育センター,荒川,青森市大字荒川字藤戸119-7,,883,,,,,,,,
盛運輸アリーナ（青森県営スケート場）,浜田,青森市大字浜田字豊田地内,,4366,,,,,,,,
青森高等学校,筒井,青森市桜川八丁目1-2,,786,,,,,,,,
青森高等技術専門校,横内,青森市大字野尻字今田43-1,,502,,,,,,,,
青森公立大学,横内,青森市大字合子沢字山崎153-4,,2487,,,,,,,,
オカでんアリーナ（青森市スポーツ会館）,浪打,青森市合浦一丁目13-1,,880,,,,,,,,
青森市総合福祉センター,浦町,青森市中央三丁目16-1,,172,,,,,,,,
リンクステーションホール青森（青森市文化会館）,橋本,青森市堤町一丁目4-1,,2096,,,,,,,,
リンクモア平安閣市民ホール（青森市民ホール）,篠田,青森市柳川一丁目2-14,,799,,,,,,,,
青森大学,幸畑,青森市幸畑二丁目3-１,,1398,,,,,,,,
青森中央学院大学,横内,青森市大字横内字神田12-1,,1288,,,,,,,,
青森中央高等学校,浜田,青森市東大野一丁目22-1,,1210,,,,,,,,
青森西高等学校,新城,青森市大字新城字平岡266-20,,924,,,,,,,,
青森東高等学校,原別（南）,青森市原別三丁目1-1,,1420,,,,,,,,
青森南高等学校,金沢,青森市西大野二丁目12-40,,1177,,,,,,,,
アピオあおもり,浦町,青森市中央三丁目17-1,,292,,,,,,,,
油川市民センター,油川,青森市大字羽白字池上197-1,,509,,,,,,,,
油川小学校,油川,青森市大字油川字船岡36,,1885,,,,,,,,
油川中学校,油川,青森市大字羽白字沢田471,,469,,,,,,,,
荒川市民センター,荒川,青森市大字荒川字柴田129-1,,439,,,,,,,,
荒川小学校,荒川,青森市大字荒川字柴田92-5,,317,,,,,,,,
荒川中学校,荒川,青森市大字金浜字稲田107,,797,,,,,,,,
荒川小・中学校金浜分教室,荒川,青森市大字金浜字伊吹22-1,,480,,,,,,,,
泉川小学校,泉川,青森市大字浪館字泉川1-1,,611,,,,,,,,
旧後潟小学校,北（北）,青森市大字六枚橋字磯打95,,,,,,,,,,
浜田福祉館,浜田,青森市青葉三丁目8-1,,45,,,,,,,,
莨町小学校,莨町,青森市青柳二丁目7-25,,545,,,,,,,,
戸山中学校,戸山西,青森市赤坂一丁目1-1,,544,,,,,,,,
片岡福祉館,金沢,青森市旭町三丁目7-20,,76,,,,,,,,
浅虫緑地,東陽（北）,青森市大字浅虫字山下368-2外,,,,,,,,,,
旧浅虫小学校（グラウンド）,東陽（北）,青森市大字浅虫字山下132,,,,,,,,,,
軽費老人ホーム和幸園,東陽（南）,青森市大字浅虫字内野48-1,,16,,,,,,,,
南部屋・海扇閣,東陽（北）,青森市大字浅虫字蛍谷31,,,,,,,,,,
ホテル秋田屋,東陽（北）,青森市大字浅虫字蛍谷293-12,,,,,,,,,,
夢宅寺,東陽,青森市大字浅虫字山下208,,,,,,,,,,
ユーサ浅虫,東陽（北）,青森市大字浅虫字蛍谷341-19,,389,,,,,,,,
あすか海岸緑地,北（南）,青森市大字飛鳥字塩越地内,,,,,,,,,,
